Miscellaneous Items purchase,,,,
,,,,
,Price,Qty,Cost,Link
Connectors,9.99,2,19.98,https://www.amazon.com/dp/B07DJ63MJP?ref=exp_jetsonhacks_dp_vv_d
Voltage regulator,13.99,2,27.98,https://www.amazon.com/dp/B085T73CSD?ref=exp_jetsonhacks_dp_vv_d
Standoffs set,14.99,2,29.98,https://www.amazon.com/Pastall-Raspberry-Installation-Standoff-Accessories/dp/B08MF8LDBS/ref=sr_1_2_sspa?crid=2JJIJQPXZCJCM&dchild=1&keywords=Spacers&pd_rd_r=ff77c694-9558-4cca-874a-8a8a930b75df&pd_rd_w=fWcPx&pd_rd_wg=Lp06w&pf_rd_p=b4950e17-f2f6-494c-bba5-69a9d0aa3887&pf_rd_r=7MC5NBRQ738NGJ3VGVSD&pid=jDaAKBD&qid=1633512743&refinements=p_n_feature_twenty-three_browse-bin%3A19047482011&s=industrial&sprefix=1+inch+standoff%2Caps%2C325&sr=1-2-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUExQ08yMFdXVFpITUNFJmVuY3J5cHRlZElkPUEwNzQyOTM5MTJaWlNERkJMTzlBMCZlbmNyeXB0ZWRBZElkPUEwOTQyODI4M1I5TDJFRzJESjI3WiZ3aWRnZXROYW1lPXNwX2F0ZiZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU=
buck boost converter,15.99,2,31.98,https://www.amazon.com/DROK-5-5-30V-Adjustable-Regulator-Converter/dp/B07VNDGFT6/ref=sr_1_1_sspa?crid=3V5JXIXOB3MJ1&dchild=1&keywords=buck+boost+converter&qid=1633511820&sprefix=buck+boost+%2Caps%2C343&sr=8-1-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEzRFZVUlM1UFZUWjlNJmVuY3J5cHRlZElkPUEwNzUxMTE3MVpVR01VNUFURVJZUyZlbmNyeXB0ZWRBZElkPUEwMTQxMTAwUUMxRjE5TDRPMjEyJndpZGdldE5hbWU9c3BfYXRmJmFjdGlvbj1jbGlja1JlZGlyZWN0JmRvTm90TG9nQ2xpY2s9dHJ1ZQ==
XT90 Battery Connector,10.99,1,10.99,https://www.amazon.com/Yasoca-Battery-Connector-Bullet-Connectors/dp/B08P1PDF7C/ref=sr_1_2_sspa?dchild=1&keywords=lipo+male+connector&qid=1633512880&sr=8-2-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUFBNjAxU1lQN0FBN1omZW5jcnlwdGVkSWQ9QTAxMTU4MzdPWlZHNElIMUswTkomZW5jcnlwdGVkQWRJZD1BMDgxODk3NjJGMzEzVlBZQzE2MVUmd2lkZ2V0TmFtZT1zcF9hdGYmYWN0aW9uPWNsaWNrUmVkaXJlY3QmZG9Ob3RMb2dDbGljaz10cnVl
,,,,
Wago nuts,8.45,1,8.45,https://www.amazon.com/Lever-Nuts-Compact-Splicing-Connector-Contains/dp/B091ZKXC14/ref=sr_1_1_sspa?dchild=1&keywords=wago+nut&qid=1633523646&sr=8-1-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEySVFFNjM2WFQ0M0NKJmVuY3J5cHRlZElkPUEwNjEwMTM5MzYxREg4QktPM1M0TyZlbmNyeXB0ZWRBZElkPUEwMjAzNDUyMkJXT0I4TUlDWE9aSiZ3aWRnZXROYW1lPXNwX2F0ZiZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU=
Lipo voltage monitor,13.99,1,13.99,https://www.amazon.com/CAMWAY-Battery-Voltage-Monitor-Checker/dp/B07DC3LH9C/ref=sr_1_3?crid=1SAZU3TMFU4ZQ&dchild=1&keywords=lipo+monitor&qid=1633523717&sprefix=lipo+monit%2Caps%2C322&sr=8-3
M3 Threaded brass inserts,13.99,1,13.99,https://www.amazon.com/initeq-M3-0-5-Threaded-Inserts-Printing/dp/B077CL322T/ref=as_li_ss_tl?keywords=m3+thread+inserts&qid=1553783840&s=gateway&sr=8-9&th=1&linkCode=sl1&tag=3dprintingwor-20&linkId=2a29b2143ddae1afc8af962dc4daf0d7&language=en_US
Acrylic board,,2,0,
Double sided tape,,1,,
